Time;index;reftemp;sensX-3;sensX-2;sensX-1;sensX0;sensX1;sensX2;sensX3
0;1;268;588;752;257;262;264;1022;257
1;2;268;584;759;260;265;261;1024;260
2;3;270;581;767;261;258;265;1027;261
3;4;270;586;771;261;259;261;1030;261
4;5;271;586;771;261;259;261;1030;261
5;6;271;602;778;266;257;259;1041;266
6;7;272;603;785;271;264;263;1046;271
8;9;272;602;782;267;263;257;1043;267
9;10;272;589;796;251;263;178;1037;251
10;11;272;497;722;242;262;403;970;242
11;12;274;497;722;242;262;403;970;242
12;13;274;561;764;265;264;260;1019;265
13;14;275;600;795;268;260;262;1047;268
15;16;279;615;802;264;258;259;1054;264
16;17;278;607;794;274;264;264;1052;274
17;18;278;646;797;271;255;261;1067;271
18;19;276;646;797;271;255;261;1067;271
19;20;276;618;797;274;261;258;1057;274
20;21;276;614;795;276;260;256;1056;276
22;23;276;625;798;273;256;260;1060;273
23;24;281;624;802;269;257;266;1059;269
24;25;281;622;778;268;259;258;1049;268
25;26;282;626;800;277;257;260;1063;277
26;27;282;634;798;277;260;263;1065;277
27;28;283;638;802;270;261;259;1065;270
28;29;283;632;802;277;260;261;1066;277
29;30;283;904;929;281;259;258;1220;281
30;31;284;631;803;278;258;266;1066;278
31;32;284;617;801;275;263;256;1059;275
32;33;285;622;806;282;261;269;1065;282
33;34;285;622;803;281;258;270;1064;281
34;35;285;622;803;281;258;270;1064;281
35;36;285;622;801;277;256;273;1061;277
36;37;287;875;921;278;267;267;1205;278
38;39;288;617;802;283;266;261;1062;283
39;40;288;617;811;281;258;268;1065;281
40;41;288;620;813;285;261;259;1068;285
41;42;294;620;813;285;261;259;1068;285
42;43;294;598;833;280;260;264;1066;280
43;44;296;590;842;280;265;268;1066;280
45;46;303;566;853;287;264;263;1064;287
46;47;305;576;857;288;263;264;1069;288
47;48;305;572;864;287;261;271;1070;287
48;49;304;572;864;287;261;271;1070;287
49;50;304;567;872;292;265;273;1073;292
50;51;305;557;873;287;265;271;1068;287
52;53;303;543;874;285;272;262;1062;285
53;54;300;547;876;291;267;273;1067;291
54;55;300;541;878;292;265;264;1066;292
55;56;304;436;811;294;271;281;1000;294
56;57;304;547;880;294;261;274;1069;294
57;58;308;547;880;294;261;274;1069;294
58;59;308;582;880;296;268;266;1084;296
59;60;309;543;884;293;271;269;1069;293
61;62;309;503;817;267;245;264;1018;267
62;63;312;548;898;282;253;243;1072;282
63;64;312;541;884;294;272;260;1069;294
64;65;315;541;884;294;272;260;1069;294
65;66;315;539;881;291;261;263;1066;291
66;67;318;538;904;281;244;244;1070;281
68;69;321;522;911;304;266;269;1076;304
69;70;323;514;919;300;265;268;1074;300
70;71;323;516;918;301;265;277;1075;301
71;72;318;509;927;305;263;264;1077;305
72;73;318;497;927;307;262;265;1073;307
73;74;318;506;947;291;252;243;1078;291
75;76;325;487;942;304;268;264;1074;304
76;77;316;490;950;311;268;279;1081;311
77;78;316;488;954;303;267;271;1079;303
78;79;324;496;952;304;270;268;1081;304
79;80;324;474;959;303;269;274;1075;303
80;81;329;474;956;302;267;265;1074;302
82;83;329;451;923;308;273;268;1054;308
83;84;329;487;963;308;264;271;1084;308
84;85;329;432;879;277;246;260;1018;277
85;86;330;466;943;297;262;268;1064;297
86;87;330;477;968;311;268;276;1083;311
87;88;330;477;968;311;268;276;1083;311
88;89;330;442;928;310;268;278;1054;310
89;90;331;469;970;307;266;274;1079;307
91;92;333;471;968;310;263;268;1080;310
92;93;335;483;966;314;269;276;1086;314
93;94;335;472;971;315;271;278;1084;315
94;95;332;472;971;315;271;278;1084;315
95;96;332;471;971;315;271;278;1083;315
96;97;336;474;971;317;272;278;1085;317
98;99;340;426;941;315;270;265;1054;315
99;100;349;460;990;320;270;272;1088;320
100;101;349;461;998;319;272;272;1091;319
101;102;348;461;998;319;272;272;1091;319
102;103;348;451;1011;316;271;281;1091;316
103;104;347;442;1010;319;270;276;1089;319
105;106;350;437;1020;324;263;276;1092;324
106;107;343;441;1023;324;267;275;1095;324
107;108;343;356;922;287;252;264;1010;287
108;109;353;401;932;286;249;262;1030;286
109;110;353;436;1028;325;279;279;1096;325
110;111;357;423;1029;325;277;274;1091;325
112;113;361;426;1031;327;271;283;1094;327
113;114;361;442;1033;326;277;279;1100;326
114;115;361;419;1037;336;273;287;1097;336
115;116;358;419;1040;337;272;289;1098;337
117;118;358;421;1036;333;270;283;1096;333
118;119;355;421;1036;333;270;283;1096;333
119;120;355;410;1037;332;265;281;1092;332
120;121;359;405;1036;339;270;276;1092;339
122;123;359;421;1033;335;273;282;1096;335
123;124;361;409;1036;337;273;276;1093;337
124;125;361;411;1037;339;277;281;1095;339
125;126;362;411;1037;339;277;281;1095;339
126;127;362;410;1039;335;272;277;1094;335
127;128;360;408;1038;334;276;275;1092;334
129;130;371;407;1051;337;277;285;1098;337
130;131;376;402;1053;339;276;271;1097;339
131;132;376;371;958;302;253;264;1035;302
132;133;374;358;961;304;256;264;1032;304
133;134;374;588;1238;344;269;271;1242;344
134;135;382;588;1238;344;269;271;1242;344
135;136;382;393;1093;330;257;253;1106;330
136;137;380;382;1073;342;277;278;1099;342
137;138;381;380;1076;345;280;281;1100;345
138;139;381;380;1074;352;272;272;1102;352
139;140;383;378;1073;349;274;273;1100;349
140;141;383;381;1074;345;275;272;1100;345
141;142;385;381;1074;345;275;272;1100;345
142;143;385;355;1077;351;266;279;1093;351
143;144;387;348;978;315;257;272;1039;315
145;146;382;366;1071;348;275;271;1094;348
146;147;380;369;1074;353;277;280;1098;353
147;148;380;364;1070;349;272;272;1093;349
148;149;379;364;1070;349;272;272;1093;349
149;150;379;384;1074;353;264;271;1104;353
150;151;372;303;988;351;283;300;1039;351
152;153;368;370;1078;351;275;275;1099;351
153;154;368;370;1076;350;273;280;1098;350
154;155;368;364;1074;350;267;276;1095;350
155;156;377;362;1077;352;271;281;1096;352
156;157;377;362;1070;350;273;274;1093;350
157;158;383;362;1070;350;273;274;1093;350
158;159;383;327;981;314;253;259;1031;314
159;160;386;359;1088;351;269;269;1099;351
161;162;387;361;1097;354;269;277;1104;354
162;163;375;355;1098;358;265;269;1104;358
163;164;375;357;1102;357;264;277;1106;357
164;165;385;357;1102;357;264;277;1106;357
165;166;385;355;1129;345;252;239;1111;345
166;167;392;354;1104;356;263;278;1105;356
168;169;390;351;1107;359;274;271;1106;359
169;170;396;348;1109;355;267;273;1104;355
170;171;396;350;1105;357;265;270;1104;357
171;172;399;365;1026;370;281;291;1085;370
172;173;399;339;1106;361;269;267;1102;361
173;174;404;339;1110;362;268;272;1104;362
174;175;406;336;1109;365;266;265;1104;365
175;176;406;327;1113;364;265;276;1101;364
176;177;404;312;1057;364;264;275;1074;364
177;178;404;339;1108;356;267;267;1101;356
178;179;399;342;1107;366;268;269;1105;366
179;180;399;339;1127;363;264;264;1111;363
180;181;401;339;1127;363;264;264;1111;363
181;182;401;335;1107;368;272;270;1104;368
182;183;403;334;1112;369;269;267;1105;369
184;185;408;339;1107;367;267;264;1105;367
185;186;405;329;1108;370;257;273;1102;370
186;187;405;327;1112;372;256;271;1104;372
187;188;406;327;1112;372;256;271;1104;372
188;189;406;329;1114;373;267;269;1106;373
189;190;412;325;1112;370;266;260;1102;370
191;192;420;303;1063;373;263;264;1076;373
192;193;420;330;1110;380;264;270;1107;380
193;194;420;323;1113;379;268;268;1105;379
194;195;414;299;1058;376;262;267;1074;376
195;196;414;323;1112;376;263;270;1104;376
196;197;418;323;1112;376;263;270;1104;376
197;198;418;296;1013;341;248;261;1042;341
198;199;422;322;1113;383;263;265;1107;383
200;201;436;157;1113;311;291;396;1016;311
201;202;430;318;1110;391;275;264;1107;391
202;203;430;315;1114;390;265;271;1107;390
203;204;430;315;1114;390;265;271;1107;390
204;205;430;314;1161;391;255;263;1125;391
205;206;435;310;1163;387;253;264;1123;387
207;208;439;260;955;350;243;261;1010;350
208;209;443;290;1011;354;247;264;1044;354
209;210;443;306;1119;397;267;273;1108;397
210;211;439;315;1147;388;247;250;1119;388
211;212;439;291;1066;398;263;283;1082;398
212;213;445;291;1066;398;263;283;1082;398
213;214;445;307;1116;398;264;270;1108;398
214;215;450;311;1115;402;271;272;1110;402
215;216;457;312;1112;405;265;266;1111;405
216;217;457;305;1112;409;271;259;1110;409
217;218;463;306;1111;407;260;267;1109;407
218;219;463;311;1109;407;267;281;1110;407
219;220;474;311;1109;407;267;281;1110;407
220;221;474;289;1002;364;254;266;1044;364
221;222;475;285;1051;415;263;267;1081;415
223;224;473;302;1096;415;253;264;1105;415
224;225;479;286;992;375;242;260;1043;375
225;226;479;308;1095;416;268;274;1107;416
226;227;484;308;1095;416;268;274;1107;416
227;228;484;302;1097;423;265;281;1108;423
228;229;479;293;990;384;266;259;1049;384
230;231;478;304;1101;429;258;267;1113;429
231;232;474;314;1094;419;263;265;1110;419
232;233;474;283;1044;424;275;273;1081;424
233;234;467;307;1091;430;264;266;1110;430
234;235;467;336;1094;433;265;270;1124;433
236;237;464;336;1094;433;265;270;1124;433
237;238;464;302;1092;432;263;266;1110;432
238;239;463;307;1089;428;269;275;1109;428
240;241;471;305;1096;432;266;278;1112;432
241;242;479;294;1088;428;274;266;1104;428
242;243;479;305;1091;430;268;269;1110;430
243;244;481;305;1091;430;268;269;1110;430
244;245;481;305;1094;433;262;276;1112;433
245;246;481;298;1090;430;269;262;1107;430
248;249;516;302;1080;433;260;269;1105;433
249;250;516;305;1079;437;266;279;1108;437
250;251;523;300;1073;441;266;272;1105;441
251;252;523;298;1067;440;269;269;1102;440
252;253;517;295;1063;449;264;274;1102;449
254;255;516;296;1060;447;269;270;1101;447
255;256;524;299;1056;442;273;266;1099;442
256;257;524;290;1057;453;265;279;1100;453
257;258;530;299;1051;456;265;262;1102;456
258;259;530;292;1051;460;267;267;1101;460
259;260;532;292;1051;460;267;267;1101;460
260;261;532;290;1050;462;265;269;1100;462
261;262;544;289;1051;461;265;280;1100;461
263;264;535;290;1043;468;273;262;1100;468
264;265;538;298;1044;468;266;269;1104;468
265;266;538;289;1044;463;261;272;1098;463
266;267;533;289;1044;463;261;272;1098;463
267;268;533;288;1046;474;263;266;1103;474
268;269;536;291;1045;473;271;278;1103;473
270;271;543;286;1044;472;274;277;1100;472
271;272;537;289;1041;476;266;267;1102;476
272;273;537;291;1044;480;273;280;1105;480
273;274;541;294;1045;476;267;274;1105;476
274;275;541;269;1006;477;268;281;1081;477
275;276;534;269;1006;477;268;281;1081;477
276;277;534;291;1047;478;272;276;1106;478
277;278;562;270;1082;476;266;228;1110;476
279;280;589;264;979;477;274;276;1069;477
280;281;593;272;979;478;273;272;1073;478
281;282;593;282;1013;488;275;280;1093;488
282;283;603;282;1013;488;275;280;1093;488
283;284;603;278;1017;482;255;246;1091;482
284;285;599;279;995;500;268;281;1090;500
286;287;594;260;898;453;249;265;1027;453
287;288;602;275;1013;496;255;252;1094;496
288;289;602;281;988;511;271;278;1092;511
289;290;603;277;990;518;273;277;1094;518
290;291;603;268;1012;504;255;251;1094;504
291;292;609;268;1012;504;255;251;1094;504
292;293;609;272;1006;499;255;251;1091;499
293;294;610;271;987;516;279;280;1090;516
295;296;613;282;989;524;275;280;1098;524
296;297;615;289;985;520;276;281;1097;520
297;298;615;263;896;467;254;279;1033;467
298;299;607;263;896;467;254;279;1033;467
299;300;607;272;994;515;252;255;1092;515
300;301;615;273;975;523;265;277;1089;523
302;303;614;274;994;526;254;253;1097;526
303;304;604;276;969;533;278;271;1091;533
304;305;604;275;972;531;274;276;1091;531
305;306;633;283;972;528;274;270;1093;528
306;307;633;278;977;535;271;281;1096;535
307;308;681;273;971;534;272;272;1091;534
308;309;681;367;1109;538;266;274;1182;538
309;310;692;280;945;541;270;270;1087;541
310;311;701;278;933;550;270;273;1085;550
311;312;701;276;930;557;274;281;1086;557
312;313;698;269;918;555;267;270;1077;555
313;314;698;278;917;564;271;273;1084;564
314;315;698;278;917;564;271;273;1084;564
315;316;698;276;910;574;267;286;1084;574
316;317;704;278;909;575;265;282;1085;575
318;319;702;178;844;574;284;299;1022;574
319;320;713;274;912;581;274;281;1087;581
320;321;713;272;908;580;276;281;1084;580
321;322;711;275;908;583;277;272;1087;583
322;323;711;275;909;585;280;281;1088;585
323;324;720;275;911;591;275;278;1091;591
324;325;720;290;845;587;287;299;1070;587
325;326;727;278;909;600;280;287;1095;600
326;327;729;272;906;598;284;274;1091;598
327;328;729;274;909;603;279;284;1094;603
328;329;720;274;904;602;275;287;1092;602
329;330;720;268;906;607;277;279;1092;607
330;331;720;268;906;607;277;279;1092;607
331;332;720;256;822;536;264;265;1028;536
332;333;724;273;899;608;280;280;1092;608
334;335;719;269;907;604;264;248;1092;604
335;336;754;270;897;607;272;289;1090;607
336;337;754;278;890;608;283;278;1091;608
337;338;800;276;881;618;282;287;1090;618
338;339;800;269;870;634;270;270;1089;634
339;340;800;267;871;621;263;262;1084;621
341;342;812;275;847;636;283;282;1084;636
341;342;812;271;849;631;278;280;1081;631
342;343;810;274;840;634;279;277;1080;634
343;344;810;270;836;644;279;285;1081;644
344;345;812;220;770;640;288;297;1035;640
345;346;812;271;823;649;280;285;1078;649
346;347;826;271;823;649;280;285;1078;649
347;348;826;273;820;660;283;290;1082;660
348;349;821;264;834;671;279;273;1088;671
350;351;819;260;803;666;274;279;1073;666
351;352;821;263;803;665;284;276;1073;665
352;353;821;258;815;661;263;252;1074;661
353;354;824;258;815;661;263;252;1074;661
355;356;824;272;806;670;283;284;1080;670
356;357;826;274;808;668;279;280;1081;668
358;359;815;266;798;676;278;274;1077;676
359;360;818;262;812;668;265;251;1077;668
